age_difference;same_gender;setting;frequency;initiator;help;other_age;other_gender;role;hierarchy;rel_quality;geo_distance;years_known;depth_acquaintance;contact_freq;shared_interests;formality_level;Sociality
-1;1;work;occasional;you;receiving;41;Female;supervisor;Higher;1;v-close;2-5 years;3;4;2;3;2
-2;0;family;occasional;you;neither;40;Male;sibling;None;1;close;>10 years;3;2;2;1;4
-2;0;family;occasional;other;neither;40;Male;sibling;None;1;close;>10 years;3;2;2;1;4
-15;1;casual;regular;none;neither;27;Female;coWorker;Higher;1;v-close;2-5 years;2;3;2;2;3
-15;1;casual;occasional;you;receiving;27;Female;coWorker;Higher;1;v-close;2-5 years;2;3;2;2;5
1;1;casual;occasional;other;giving;43;Female;coWorker;Higher;-1;v-close;2-5 years;2;2;2;3;4
-15;1;casual;occasional;none;neither;27;Female;coWorker;Higher;1;v-close;2-5 years;2;3;2;2;4
16;1;work;occasional;you;receiving;41;Male;supervisor;Higher;1;v-close;<2 years;3;2;4;5;4
4;1;work;regular;none;neither;29;Male;coWorker;Higher;-1;v-close;<2 years;5;4;2;3;6
0;1;family;occasional;you;neither;25;Male;partner;None;2;v-far;5-10 years;5;5;3;5;5
0;1;family;occasional;other;neither;25;Male;partner;None;2;v-far;5-10 years;5;5;3;5;4
24;1;sport;occasional;other;neither;49;Male;coWorker;Higher;2;v-far;<2 years;2;4;;3;3
4;1;casual;regular;none;neither;29;Male;coWorker;Higher;-1;v-close;<2 years;5;4;2;3;6
24;1;casual;occasional;you;receiving;49;Male;coWorker;Higher;2;v-far;<2 years;2;4;;3;6
7;1;casual;occasional;none;neither;32;Male;friend;Lower;2;v-close;<2 years;4;2;4;3;6
-5;0;work;occasional;other;giving;45;Male;groupMember;None;-1;close;>10 years;4;1;3;1;2
8;0;work;occasional;you;receiving;58;Male;supervisor;Higher;-1;far;5-10 years;2;1;3;3;2
1;0;family;regular;none;neither;51;Male;partner;None;2;v-close;>10 years;5;5;5;1;3
1;0;family;occasional;you;neither;51;Male;partner;None;2;v-close;>10 years;5;5;5;1;6
-10;1;sport;regular;none;neither;40;Female;neighbour;None;1;v-close;2-5 years;2;2;2;3;5
-10;1;sport;occasional;other;neither;40;Female;neighbour;None;1;v-close;2-5 years;2;2;2;3;2
-5;0;casual;regular;none;neither;45;Male;groupMember;None;-1;close;>10 years;4;1;3;1;5
-5;0;casual;occasional;other;giving;45;Male;groupMember;None;-1;close;>10 years;4;1;3;1;3
2;1;work;occasional;other;giving;35;Female;neighbour;None;0;v-close;<2 years;2;2;2;3;1
41;0;family;regular;none;neither;74;Male;parent;None;-2;v-far;>10 years;2;1;2;;2
41;0;family;occasional;you;neither;74;Male;parent;None;-2;v-far;>10 years;2;1;2;;6
41;0;family;occasional;other;neither;74;Male;parent;None;-2;v-far;>10 years;2;1;2;;6
4;1;sport;regular;none;neither;37;Female;friend;None;1;v-far;5-10 years;5;4;4;1;5
4;1;sport;occasional;other;neither;37;Female;friend;None;1;v-far;5-10 years;5;4;4;1;4
2;1;casual;regular;none;neither;35;Female;neighbour;None;0;v-close;<2 years;2;2;2;3;6
2;1;casual;occasional;none;neither;35;Female;neighbour;None;0;v-close;<2 years;2;2;2;3;6
42;0;work;regular;none;neither;60;Female;supervisor;Higher;0;v-close;2-5 years;2;1;2;5;6
5;0;family;regular;none;neither;23;Female;sibling;None;2;v-close;>10 years;5;4;4;2;6
5;0;family;occasional;you;neither;23;Female;sibling;None;2;v-close;>10 years;5;4;4;2;5
5;0;family;occasional;other;neither;23;Female;sibling;None;2;v-close;>10 years;5;4;4;2;4
1;0;sport;regular;none;neither;19;Female;groupMember;None;0;v-far;<2 years;2;1;2;1;6
1;0;casual;occasional;you;receiving;19;Female;groupMember;None;0;v-far;<2 years;2;1;2;1;6
1;0;casual;occasional;other;giving;19;Female;groupMember;None;0;v-far;<2 years;2;1;2;1;4
1;0;casual;occasional;none;neither;19;Female;groupMember;None;0;v-far;<2 years;2;1;2;1;6
1;1;work;occasional;other;giving;36;Male;friend;None;1;v-close;2-5 years;4;4;4;1;1
22;0;work;occasional;you;receiving;57;Female;supervisor;Higher;0;v-close;2-5 years;2;2;2;4;3
22;0;work;regular;none;neither;57;Female;supervisor;Higher;0;v-close;2-5 years;2;2;2;4;4
2;0;family;occasional;you;neither;37;Female;sibling;None;1;v-close;>10 years;5;3;3;1;1
30;1;sport;occasional;other;neither;65;Male;extendedFamily;None;-1;v-close;>10 years;3;1;1;3;4
22;0;casual;regular;none;neither;57;Female;supervisor;Higher;0;v-close;2-5 years;2;2;2;4;1
1;1;casual;occasional;you;receiving;36;Male;friend;None;1;v-close;2-5 years;4;4;4;1;1
1;1;casual;occasional;other;giving;36;Male;friend;None;1;v-close;2-5 years;4;4;4;1;1
-4;1;work;occasional;other;giving;26;Male;friend;None;1;v-far;<2 years;2;4;4;1;2
20;1;work;occasional;you;receiving;50;Male;supervisor;Higher;1;v-close;<2 years;2;1;;3;2
20;1;work;regular;none;neither;50;Male;supervisor;Higher;1;v-close;<2 years;2;1;;3;6
30;0;family;occasional;other;neither;60;Female;parent;Higher;2;v-close;>10 years;3;4;2;1;1
10;1;sport;regular;none;neither;40;Male;other;None;-2;v-far;5-10 years;3;1;2;1;6
10;1;casual;occasional;you;receiving;40;Male;other;None;-2;v-far;5-10 years;3;1;2;1;6
10;1;casual;occasional;other;giving;40;Male;other;None;-2;v-far;5-10 years;3;1;2;1;1
10;1;casual;occasional;none;neither;40;Male;other;None;-2;v-far;5-10 years;3;1;2;1;1
-2;0;work;occasional;other;giving;24;Female;supervisor;Higher;2;v-close;5-10 years;5;5;5;5;2
-2;0;family;regular;none;neither;24;Female;sibling;None;-2;v-close;>10 years;1;;1;1;3
20;0;family;occasional;you;neither;46;Female;parent;None;0;v-close;>10 years;5;4;1;;3
-2;0;family;occasional;other;neither;24;Female;sibling;None;-2;v-close;>10 years;1;;1;1;6
0;0;sport;regular;none;neither;26;Female;friend;Higher;2;v-close;>10 years;4;5;5;4;1
1;1;casual;regular;none;neither;27;Male;other;None;-2;v-far;<2 years;3;1;2;;4
0;0;casual;occasional;you;receiving;26;Female;friend;Higher;2;v-close;>10 years;4;5;5;4;1
-2;0;casual;occasional;none;neither;24;Female;supervisor;Higher;2;v-close;5-10 years;5;5;5;5;5
1;1;work;occasional;you;receiving;70;Male;supervisor;Higher;1;v-far;>10 years;2;1;3;3;4
1;1;work;regular;none;neither;70;Male;supervisor;Higher;1;v-far;>10 years;2;1;3;3;3
-5;1;family;regular;none;neither;64;Male;extendedFamily;Lower;-1;v-far;>10 years;4;3;2;3;3
-5;1;family;occasional;other;neither;64;Male;extendedFamily;Lower;-1;v-far;>10 years;4;3;2;3;4
11;1;sport;occasional;other;neither;80;Male;friend;None;2;v-far;5-10 years;4;4;4;2;5
1;1;casual;occasional;you;receiving;70;Male;supervisor;Higher;1;v-far;>10 years;2;1;3;3;5
-24;1;casual;occasional;other;giving;45;Male;neighbour;None;1;v-close;<2 years;2;3;;3;5
-24;1;casual;occasional;none;neither;45;Male;neighbour;None;1;v-close;<2 years;2;3;;3;4
30;0;work;occasional;you;receiving;60;Male;supervisor;Higher;1;v-close;2-5 years;3;4;3;3;4
25;1;work;regular;none;neither;55;Female;coWorker;None;-1;v-close;2-5 years;2;3;1;2;6
43;1;family;regular;none;neither;73;Female;parent;Higher;2;v-far;>10 years;4;4;3;3;6
43;1;family;occasional;other;neither;73;Female;parent;Higher;2;v-far;>10 years;4;4;3;3;6
0;1;sport;regular;none;neither;30;Female;friend;None;2;close;>10 years;5;5;5;1;6
25;1;sport;occasional;other;neither;55;Female;coWorker;None;-1;v-close;2-5 years;2;3;1;2;5
0;1;casual;occasional;you;receiving;30;Female;friend;None;2;close;>10 years;5;5;5;1;5
25;1;casual;occasional;none;neither;55;Female;coWorker;None;-1;v-close;2-5 years;2;3;1;2;6
43;1;work;occasional;other;giving;70;Female;supervisor;Higher;0;v-close;5-10 years;1;1;2;5;1
43;1;work;regular;none;neither;70;Female;supervisor;Higher;0;v-close;5-10 years;1;1;2;5;6
-2;1;family;regular;none;neither;25;Female;sibling;None;2;v-close;>10 years;5;5;5;1;6
-2;1;family;occasional;you;neither;25;Female;sibling;None;2;v-close;>10 years;5;5;5;1;6
31;0;sport;regular;none;neither;58;Male;neighbour;None;1;v-close;<2 years;2;3;2;1;6
31;0;sport;occasional;other;neither;58;Male;neighbour;None;1;v-close;<2 years;2;3;2;1;2
31;0;casual;regular;none;neither;58;Male;neighbour;None;1;v-close;<2 years;2;3;2;1;6
31;0;casual;occasional;other;giving;58;Male;neighbour;None;1;v-close;<2 years;2;3;2;1;6
-4;1;work;occasional;other;giving;43;Female;supervisor;None;2;far;2-5 years;4;3;4;1;4
-4;1;work;occasional;you;receiving;43;Female;supervisor;None;2;far;2-5 years;4;3;4;1;1
-4;1;work;regular;none;neither;43;Female;supervisor;None;2;far;2-5 years;4;3;4;1;5
25;1;family;occasional;other;neither;72;Female;parent;Higher;2;v-close;>10 years;5;5;5;5;4
-18;0;sport;regular;none;neither;29;Male;friend;None;1;v-close;>10 years;2;2;3;1;6
-17;1;casual;regular;none;neither;30;Female;friend;None;2;close;>10 years;5;2;3;1;6
-4;1;casual;occasional;you;receiving;43;Female;supervisor;None;2;far;2-5 years;4;3;4;1;6
10;0;casual;occasional;other;giving;57;Male;other;None;-2;far;>10 years;5;2;3;1;6
2;0;work;occasional;other;giving;37;Female;other;None;-2;v-close;>10 years;5;1;3;1;3
0;1;work;regular;none;neither;35;Male;supervisor;Higher;1;v-close;<2 years;1;4;;4;4
30;1;family;regular;none;neither;65;Male;partner;Higher;1;v-far;>10 years;4;3;3;1;5
30;1;family;occasional;you;neither;65;Male;partner;Higher;1;v-far;>10 years;4;3;3;1;2
2;0;sport;regular;none;neither;37;Female;other;None;-2;v-close;>10 years;5;1;3;1;4
0;0;casual;regular;none;neither;35;Female;coWorker;Higher;1;v-close;<2 years;2;2;;3;5
2;0;casual;occasional;you;receiving;37;Female;other;None;-2;v-close;>10 years;5;1;3;1;5
10;1;casual;occasional;other;giving;45;Male;friend;None;1;v-close;>10 years;3;2;3;1;4
1;0;work;occasional;other;giving;30;Female;friend;None;0;far;2-5 years;2;3;;1;3
21;1;work;occasional;you;receiving;50;Male;supervisor;Higher;1;v-far;2-5 years;3;1;4;3;4
27;0;family;regular;none;neither;56;Female;parent;Higher;2;v-far;>10 years;4;5;4;1;6
27;0;family;occasional;you;neither;56;Female;parent;Higher;2;v-far;>10 years;4;5;4;1;6
39;1;sport;occasional;other;neither;68;Male;extendedFamily;None;-2;v-far;>10 years;2;1;;1;4
3;1;casual;regular;none;neither;32;Male;friend;None;2;v-close;2-5 years;4;5;4;1;3
21;1;casual;occasional;you;receiving;50;Male;supervisor;Higher;1;v-far;2-5 years;3;1;4;3;5
39;1;casual;occasional;other;giving;68;Male;extendedFamily;None;-2;v-far;>10 years;2;1;;1;5
1;1;work;occasional;you;receiving;30;Female;supervisor;Higher;2;v-close;5-10 years;5;5;5;1;6
7;1;family;regular;none;neither;36;Female;partner;None;2;v-close;>10 years;5;5;5;1;6
7;1;family;occasional;you;neither;36;Female;partner;None;2;v-close;>10 years;5;5;5;1;1
7;1;family;occasional;other;neither;36;Female;partner;None;2;v-close;>10 years;5;5;5;1;6
-2;1;sport;regular;none;neither;27;Female;friend;None;1;far;5-10 years;2;2;4;2;6
2;0;sport;occasional;other;neither;31;Male;other;None;-2;v-close;<2 years;1;1;2;1;6
1;1;casual;occasional;other;giving;30;Female;supervisor;Higher;2;v-close;5-10 years;5;5;5;1;6
2;0;casual;occasional;none;neither;31;Male;other;None;-2;v-close;<2 years;1;1;2;1;6
38;0;work;occasional;you;receiving;70;Male;supervisor;Higher;-2;v-far;>10 years;3;3;4;2;1
38;0;work;regular;none;neither;70;Male;supervisor;Higher;-2;v-far;>10 years;3;3;4;2;6
-29;0;family;regular;none;neither;3;Male;child;Lower;2;v-close;2-5 years;5;5;5;5;6
-29;0;family;occasional;other;neither;3;Male;child;Lower;2;v-close;2-5 years;5;5;5;5;1
28;0;sport;regular;none;neither;60;Male;extendedFamily;None;1;v-close;>10 years;2;3;3;3;6
28;0;sport;occasional;other;neither;60;Male;extendedFamily;None;1;v-close;>10 years;2;3;3;3;1
28;0;casual;occasional;other;giving;60;Male;extendedFamily;None;1;v-close;>10 years;2;3;3;3;1
28;0;casual;occasional;none;neither;60;Male;extendedFamily;None;1;v-close;>10 years;2;3;3;3;5
-2;1;work;regular;none;neither;29;Female;supervisor;Higher;0;v-far;5-10 years;2;1;2;1;4
3;1;family;regular;none;neither;34;Female;sibling;None;-1;v-close;>10 years;5;4;2;5;1
3;1;family;occasional;you;neither;34;Female;sibling;None;-1;v-close;>10 years;5;4;2;5;1
3;1;family;occasional;other;neither;34;Female;sibling;None;-1;v-close;>10 years;5;4;2;5;5
-4;1;sport;occasional;other;neither;27;Female;coWorker;Higher;0;v-close;2-5 years;2;1;;1;5
-4;1;casual;regular;none;neither;27;Female;coWorker;Higher;0;v-close;2-5 years;2;1;;1;1
-2;1;casual;occasional;you;receiving;29;Female;supervisor;Higher;0;v-far;5-10 years;2;1;2;1;1
-2;1;casual;occasional;none;neither;29;Female;supervisor;Higher;0;v-far;5-10 years;2;1;2;1;1
21;0;work;occasional;other;giving;45;Male;supervisor;Higher;1;v-close;2-5 years;3;5;3;4;5
21;0;work;occasional;you;receiving;45;Male;supervisor;Higher;1;v-close;2-5 years;3;5;3;4;5
21;0;work;regular;none;neither;45;Male;supervisor;Higher;1;v-close;2-5 years;3;5;3;4;6
3;1;family;occasional;you;neither;27;Female;sibling;None;2;v-far;>10 years;5;3;3;1;2
21;0;sport;regular;none;neither;45;Male;supervisor;Higher;1;v-close;2-5 years;3;5;3;4;6
1;1;sport;occasional;other;neither;25;Female;groupMember;None;1;v-close;<2 years;2;2;;1;4
26;0;casual;occasional;you;receiving;50;Male;supervisor;Higher;-1;far;<2 years;2;1;;5;6
-2;0;casual;occasional;other;giving;22;Male;friend;None;1;v-close;2-5 years;3;4;3;1;1
1;0;work;occasional;other;giving;27;Male;groupMember;None;0;v-close;<2 years;1;1;3;;4
24;1;work;occasional;you;receiving;50;Female;supervisor;Higher;1;v-close;<2 years;2;3;2;3;5
39;0;family;regular;none;neither;65;Male;parent;None;1;v-far;>10 years;4;3;4;3;5
39;0;family;occasional;you;neither;65;Male;parent;None;1;v-far;>10 years;4;3;4;3;5
1;0;sport;regular;none;neither;27;Male;groupMember;None;0;v-close;<2 years;1;1;3;;4
0;1;sport;occasional;other;neither;26;Female;friend;None;-1;v-far;>10 years;3;1;3;1;3
24;1;casual;occasional;you;receiving;50;Female;supervisor;Higher;1;v-close;<2 years;2;3;2;3;3
24;1;casual;occasional;other;giving;50;Female;supervisor;Higher;1;v-close;<2 years;2;3;2;3;4
3;1;work;occasional;other;giving;55;Female;friend;None;1;v-close;5-10 years;3;3;4;1;4
8;1;work;regular;none;neither;60;Female;supervisor;Higher;-1;v-far;>10 years;2;1;2;5;6
8;0;family;occasional;you;neither;60;Male;partner;None;0;v-close;>10 years;5;5;2;1;5
8;0;family;occasional;other;neither;60;Male;partner;None;0;v-close;>10 years;5;5;2;1;5
30;1;sport;regular;none;neither;82;Female;extendedFamily;None;1;v-close;5-10 years;2;2;2;5;6
6;1;casual;regular;none;neither;58;Female;extendedFamily;None;-1;v-close;5-10 years;2;2;2;4;6
6;1;casual;occasional;other;giving;58;Female;extendedFamily;None;-1;v-close;5-10 years;2;2;2;4;6
6;1;casual;occasional;none;neither;58;Female;extendedFamily;None;-1;v-close;5-10 years;2;2;2;4;5
1;1;work;occasional;you;receiving;35;Male;supervisor;Higher;1;v-close;2-5 years;4;4;3;4;5
7;0;work;regular;none;neither;41;Female;coWorker;Higher;0;v-close;2-5 years;2;3;2;3;6
-3;0;family;regular;none;neither;31;Female;partner;None;2;v-close;>10 years;5;5;5;5;5
-3;0;family;occasional;other;neither;31;Female;partner;None;2;v-close;>10 years;5;5;5;5;3
-5;1;sport;regular;none;neither;29;Male;friend;None;-2;v-close;2-5 years;4;2;3;3;5
8;1;casual;regular;none;neither;42;Male;friend;Lower;1;v-close;2-5 years;3;3;3;4;4
8;1;casual;occasional;you;receiving;42;Male;friend;Lower;1;v-close;2-5 years;3;3;3;4;5
1;1;casual;occasional;none;neither;35;Male;supervisor;Higher;1;v-close;2-5 years;4;4;3;4;4
11;0;work;occasional;other;giving;30;Female;groupMember;None;0;close;<2 years;1;1;3;3;2
6;1;work;regular;none;neither;25;Male;coWorker;None;-1;v-close;<2 years;2;1;1;2;4
2;0;family;occasional;you;neither;21;Female;sibling;None;-1;v-far;>10 years;4;1;2;1;4
2;0;family;occasional;other;neither;21;Female;sibling;None;-1;v-far;>10 years;4;1;2;1;1
16;1;sport;regular;none;neither;35;Male;supervisor;Higher;-1;v-close;<2 years;2;2;1;4;3
16;1;casual;regular;none;neither;35;Male;supervisor;Higher;-1;v-close;<2 years;2;2;1;4;5
16;1;casual;occasional;other;giving;35;Male;supervisor;Higher;-1;v-close;<2 years;2;2;1;4;5
11;0;casual;occasional;none;neither;30;Female;groupMember;None;0;close;<2 years;1;1;3;3;1
4;0;work;occasional;you;receiving;30;Female;supervisor;Higher;0;v-far;<2 years;2;3;2;4;2
4;0;work;regular;none;neither;30;Female;supervisor;Higher;0;v-far;<2 years;2;3;2;4;4
31;1;family;regular;none;neither;57;Male;parent;Higher;2;v-close;>10 years;5;5;4;1;5
31;1;family;occasional;you;neither;57;Male;parent;Higher;2;v-close;>10 years;5;5;4;1;4
0;1;sport;regular;none;neither;26;Male;friend;None;1;v-close;5-10 years;4;4;4;1;4
0;1;sport;occasional;other;neither;26;Male;friend;None;1;v-close;5-10 years;4;4;4;1;4
-1;1;casual;occasional;other;giving;25;Male;friend;None;-1;close;5-10 years;4;2;3;1;6
-4;1;casual;occasional;none;neither;22;Male;extendedFamily;None;0;v-far;2-5 years;2;2;2;2;4
-7;1;work;occasional;other;giving;52;Male;coWorker;None;0;v-close;2-5 years;2;2;2;3;4
11;1;work;regular;none;neither;70;Male;coWorker;Higher;-1;v-close;>10 years;4;3;3;3;6
-1;0;family;regular;none;neither;58;Female;partner;None;1;v-close;>10 years;5;5;3;1;6
-1;0;family;occasional;you;neither;58;Female;partner;None;1;v-close;>10 years;5;5;3;1;3
-7;1;sport;occasional;other;neither;52;Male;coWorker;None;0;v-close;2-5 years;2;2;2;3;5
4;0;casual;regular;none;neither;63;Female;supervisor;Higher;1;v-close;>10 years;4;5;3;4;3
-7;1;casual;occasional;you;receiving;52;Male;coWorker;None;0;v-close;2-5 years;2;2;2;3;4
11;1;casual;occasional;other;giving;70;Male;coWorker;Higher;-1;v-close;>10 years;4;3;3;3;3
30;0;work;occasional;other;giving;54;Male;coWorker;Higher;1;v-close;<2 years;2;3;1;4;4
18;0;work;occasional;you;receiving;42;Male;supervisor;Higher;1;v-close;<2 years;2;2;3;5;4
29;1;family;occasional;you;neither;53;Female;parent;Higher;1;v-close;>10 years;3;3;1;2;6
35;0;family;occasional;other;neither;59;Male;parent;Higher;-1;v-close;>10 years;3;1;3;;5
30;0;sport;occasional;other;neither;54;Male;coWorker;Higher;1;v-close;<2 years;2;3;1;4;4
0;0;casual;regular;none;neither;24;Male;friend;None;2;v-close;5-10 years;5;5;4;1;5
18;0;casual;occasional;you;receiving;42;Male;supervisor;Higher;1;v-close;<2 years;2;2;3;5;6
18;0;casual;occasional;none;neither;42;Male;supervisor;Higher;1;v-close;<2 years;2;2;3;5;5
6;1;work;regular;none;neither;60;Male;coWorker;None;-1;v-close;2-5 years;1;1;3;5;6
-10;0;family;regular;none;neither;44;Female;partner;None;2;v-close;>10 years;5;5;4;5;6
-10;0;family;occasional;you;neither;44;Female;partner;None;2;v-close;>10 years;5;5;4;5;5
-10;0;family;occasional;other;neither;44;Female;partner;None;2;v-close;>10 years;5;5;4;5;6
-4;0;sport;regular;none;neither;50;Female;friend;None;1;v-close;5-10 years;4;4;4;1;6
6;1;sport;occasional;other;neither;60;Male;coWorker;None;-1;v-close;2-5 years;1;1;3;5;5
-4;0;casual;occasional;you;receiving;50;Female;friend;None;1;v-close;5-10 years;4;4;4;1;5
12;1;casual;occasional;other;giving;66;Male;supervisor;Higher;0;v-far;5-10 years;2;2;2;3;5
0;0;work;occasional;other;giving;22;Female;friend;None;1;close;<2 years;2;1;3;3;3
27;1;work;occasional;you;receiving;49;Male;supervisor;Higher;1;far;<2 years;3;5;3;5;2
53;0;family;occasional;you;neither;75;Female;extendedFamily;Higher;2;close;>10 years;5;4;3;2;6
53;0;family;occasional;other;neither;75;Female;extendedFamily;Higher;2;close;>10 years;5;4;3;2;6
0;1;sport;regular;none;neither;22;Male;friend;None;2;far;>10 years;5;4;4;5;6
27;1;casual;regular;none;neither;49;Male;supervisor;Higher;1;far;<2 years;3;5;3;5;6
0;0;casual;occasional;you;receiving;22;Female;friend;None;1;close;<2 years;2;1;3;3;4
0;1;casual;occasional;none;neither;22;Male;friend;None;2;far;>10 years;5;4;4;5;1
23;1;work;occasional;other;giving;65;Female;supervisor;Higher;-2;v-close;>10 years;4;5;1;4;1
23;1;work;occasional;you;receiving;65;Female;supervisor;Higher;-2;v-close;>10 years;4;5;1;4;1
8;1;work;regular;none;neither;50;Female;coWorker;Higher;-1;v-close;>10 years;2;1;;3;6
-28;0;family;occasional;you;neither;14;Male;child;Lower;1;v-close;>10 years;4;4;2;1;1
7;0;sport;regular;none;neither;49;Male;other;None;-2;v-close;>10 years;5;1;1;4;6
23;1;casual;regular;none;neither;65;Female;supervisor;Higher;-2;v-close;>10 years;4;5;1;4;1
23;1;casual;occasional;you;receiving;65;Female;supervisor;Higher;-2;v-close;>10 years;4;5;1;4;6
23;1;casual;occasional;none;neither;65;Female;supervisor;Higher;-2;v-close;>10 years;4;5;1;4;5
28;0;work;occasional;other;giving;60;Female;supervisor;Higher;0;v-close;2-5 years;2;1;2;4;1
28;0;work;regular;none;neither;60;Female;supervisor;Higher;0;v-close;2-5 years;2;1;2;4;6
1;0;family;regular;none;neither;33;Female;sibling;None;1;v-close;>10 years;3;3;2;1;6
1;0;family;occasional;other;neither;33;Female;sibling;None;1;v-close;>10 years;3;3;2;1;3
-2;0;sport;regular;none;neither;30;Female;friend;None;2;v-close;5-10 years;4;4;4;1;6
31;1;casual;regular;none;neither;63;Male;extendedFamily;None;-2;v-close;>10 years;3;1;1;1;6
31;1;casual;occasional;you;receiving;63;Male;extendedFamily;None;-2;v-close;>10 years;3;1;1;1;1
28;0;casual;occasional;other;giving;60;Female;supervisor;Higher;0;v-close;2-5 years;2;1;2;4;1
-11;0;work;occasional;other;giving;26;Male;friend;None;1;v-close;<2 years;3;5;4;1;5
21;1;work;occasional;you;receiving;58;Female;supervisor;Higher;0;v-close;<2 years;2;5;2;2;5
19;1;family;regular;none;neither;56;Female;parent;None;2;v-close;>10 years;5;5;4;1;4
19;1;family;occasional;other;neither;56;Female;parent;None;2;v-close;>10 years;5;5;4;1;1
21;1;sport;occasional;other;neither;58;Female;supervisor;Higher;0;v-close;<2 years;2;5;2;2;5
-11;0;casual;regular;none;neither;26;Male;friend;None;1;v-close;<2 years;3;5;4;1;5
21;1;casual;occasional;other;giving;58;Female;supervisor;Higher;0;v-close;<2 years;2;5;2;2;4
-13;0;casual;occasional;none;neither;24;Other;other;None;-2;v-close;<2 years;1;3;2;1;6
2;0;work;occasional;other;giving;34;Male;coWorker;Higher;0;v-close;<2 years;1;1;;5;3
18;1;work;occasional;you;receiving;50;Female;supervisor;Higher;-1;v-close;2-5 years;3;4;3;3;3
